CACH,MAVG,CHCAP,SQRtPERF
32,20,10.72413793,15.90597372
32,20,10.72413793,15.90597372
32,12,10.44827586,11.48912529
64,20,10.80769231,17.02938637
64,24,11.08695652,19.5192213
64,24,11.08695652,19.5192213
128,48,12.13043478,35.18522417
4,2.006,10.01125,4.898979486
65,5,10.09166667,8.366600265
65,10,10.11,10.81665383
0,0.064,10.01,3.872983346
0,8.256,10.095,8
8,1.262,10.06287425,4.795831523
0,2.756,10.14335664,5.385164807
142,5,10.33636364,11.13552873
0,3.9,10.13636364,5.916079783
0,4.65,10.09440559,6.244997998
0,4.25,10.25174825,6.32455532
0,3.128,10.0140625,5.291502622
4,2.756,10.0125,5.291502622
4,2.628,10.0140625,5.196152423
131,1.965,10.76,10.09950494
30,6.55,10.38,8.602325267
8,1.25,10.07,4.795831523
8,2.5,10.08,5.385164807
8,5,10.08,6.633249581
8,4.5,10.1,6.403124237
8,9,10.1,8.602325267
8,9,10.11,8.602325267
8,9,10.11,8.602325267
9,6.5,10.06390977,7.348469228
9,4.5,10.06390977,6.403124237
4,4.256,10.0125,6
8,4.256,10.0275,6.164414003
0,4.192,10.00285714,5.830951895
16,2.5,10.02272727,5.477225575
0,4.128,10.004375,5.830951895
0,4.128,10.004375,5.830951895
0,1.128,10.07142857,4.472135955
8,3,10.11428571,5.744562647
8,5,10.19333333,6.8556546
8,5.5,10.35333333,7.348469228
0,1.128,10.08285714,4.472135955
6,1.884,10.05333333,5
6,0.48,10.05333333,4.242640687
8,8.5,10.19333333,8.544003745
0,1.5,10.00757576,4.472135955
0,2.5,10.01666667,5
0,3,10.03928571,5.291502622
0,3,10.05,5.385164807
8,3,10.08214286,5.656854249
32,17,10.08214286,13.22875656
32,17,10.20357143,13.45362405
8,3,10.08214286,5.656854249
64,14,10.26315789,13.07669683
64,24,10.80769231,19
64,24,10.65384615,18.70828693
0,20,10.65384615,14.83239697
0,1.5,10.01970443,4.582575695
0,1.006,10.00181818,4.242640687
0,1.384,10.00181818,4.472135955
0,1.384,10.00333333,4.472135955
0,6,10.005,6.708203932
0,0.756,10.00277778,4.123105626
4,2.5,10.00277778,5.099019514
8,2.5,10.00277778,5.291502622
8,3,10.02444444,5.567764363
8,3,10.02444444,5.567764363
8,5,10.025,6.480740698
16,9,10.02432432,8.717797887
8,7,10.14,7.681145748
8,10,10.58823529,10.04987562
32,10,10.58823529,10.77032961
0,0.884,10.00066667,4.242640687
0,1.384,10.00066667,4.472135955
0,3,10.11,5.477225575
24,9,10.09,9.055385138
24,9,10.09,9.055385138
48,12,10.13,11.3137085
0,4.5,10.05,6.08276253
24,4.5,10.05,6.782329983
24,4.5,10.055,6.782329983
24,9,10.24,9.38083152
24,9,10.24,9.38083152
0,2.256,10.46,5.744562647
16,5,10.02608696,6.782329983
2,3,10.03478261,5.385164807
32,5,10.04891304,7.280109889
32,5,10.04891304,7.280109889
4,5,10.04891304,6.403124237
64,10,10.17,10.90871211
32,12,10.325,11.22497216
64,20,10.425,16.30950643
64,20,10.48571429,16.43167673
128,24,10.65789474,20.63976744
256,24,10.7,24.55605832
0,1,10.03125,4.358898944
0,2.5,10.08035714,5.099019514
0,5,10.09821429,6.403124237
0,8,10.09821429,7.874007874
0,10,10.09821429,8.831760866
32,6,10.65789474,8.94427191
64,12,10.18421053,11.91637529
160,16,10.18421053,16.76305461
1,8.5,10.022,8
2,2.256,10.025,5
8,2.5,10.053125,5.385164807
32,5,10.05,7.280109889
8,1.256,10.01666667,4.69041576
16,4,10.11428571,6.403124237
8,8,10.11428571,8.185352772
32,8,10.16949153,9
32,16,10.5,13.52774926
24,17,10.34,13.49073756
96,36,13.16666667,30.31501278
128,36,13.16666667,31.27299154
0,2.131,10.01666667,4.898979486
0,2.256,10.01666667,4.898979486
0,2.131,10.01666667,4.898979486
0,2.256,10.01666667,4.898979486
0,4.5,10.04435484,6.08276253
32,4.5,10.06122449,7.071067812
0,5,10.072,6.403124237
32,4.256,10.00208333,6.8556546
0,2.5,10.00208333,5
